,seed_45,seed_45,seed_359,seed_359,seed_6185,seed_6185,seed_102,seed_102,seed_421,seed_421,seed_123,seed_123,seed_5676,seed_5676,seed_368,seed_368,seed_945,seed_945,seed_909,seed_909,seed_604,seed_604,seed_31,seed_31,seed_7736,seed_7736,seed_766,seed_766,seed_824,seed_824,seed_8623,seed_8623,seed_788,seed_788,seed_781,seed_781,seed_118,seed_118,seed_1946,seed_1946,seed_135,seed_135,seed_169,seed_169,seed_577,seed_577,seed_369,seed_369,seed_9342,seed_9342,seed_980,seed_980,seed_310,seed_310,seed_690,seed_690,seed_288,seed_288,seed_715,seed_715,seed_2672,seed_2672,seed_184,seed_184,seed_148,seed_148,seed_262,seed_262,seed_931,seed_931,seed_404,seed_404,seed_849,seed_849,seed_177,seed_177,seed_340,seed_340,seed_8,seed_8,seed_3794,seed_3794,seed_759,seed_759,seed_245,seed_245,seed_412,seed_412,seed_479,seed_479,seed_764,seed_764,seed_753,seed_753,seed_882,seed_882,seed_362,seed_362,seed_4143,seed_4143
,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value
iteration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,73,0.687847,78,0.590437,26,0.839722,91,0.625649,96,0.641716,74,0.658964,21,0.904846,16,0.88388,88,0.64553,45,0.456972,72,0.619629,20,0.899917,71,0.669569,72,0.619629,18,0.932613,33,0.725884,18,0.932613,19,0.869142,65,0.557771,73,0.687847,74,0.658964,95,0.649364,71,0.669569,92,0.665694,80,0.47378,74,0.658964,63,0.673479,68,0.553297,74,0.658964,17,0.902128,74,0.658964,16,0.88388,88,0.64553,96,0.641716,73,0.687847,21,0.904846,20,0.899917,38,0.73516,16,0.88388,69,0.655095,76,0.645276,78,0.590437,88,0.64553,15,0.92212,69,0.655095,73,0.687847,15,0.92212,62,0.6771,21,0.904846,68,0.553297
19,74,0.658964,64,0.427846,24,0.857797,74,0.658964,95,0.649364,76,0.645276,16,0.88388,20,0.899917,92,0.665694,71,0.669569,64,0.427846,17,0.902128,69,0.655095,45,0.456972,21,0.904846,39,0.735191,16,0.88388,3,0.529015,59,0.65301,76,0.645276,76,0.645276,96,0.641716,74,0.658964,96,0.641716,91,0.625649,75,0.644678,59,0.65301,86,0.638409,73,0.687847,19,0.869142,75,0.644678,20,0.899917,92,0.665694,90,0.581536,74,0.658964,22,0.820774,23,0.87748,57,0.65512,17,0.902128,63,0.673479,74,0.658964,64,0.427846,80,0.47378,14,0.901296,72,0.619629,74,0.658964,14,0.901296,67,0.558344,13,0.936549,63,0.673479
20,71,0.669569,16,0.88388,23,0.87748,92,0.665694,74,0.658964,75,0.644678,20,0.899917,58,0.829756,96,0.641716,75,0.644678,78,0.590437,19,0.869142,75,0.644678,75,0.644678,13,0.936549,29,0.733492,15,0.92212,58,0.829756,57,0.65512,71,0.669569,72,0.619629,92,0.665694,69,0.655095,91,0.625649,72,0.619629,92,0.665694,57,0.65512,91,0.625649,71,0.669569,58,0.829756,73,0.687847,23,0.87748,96,0.641716,86,0.638409,49,0.368797,23,0.87748,22,0.820774,28,0.797176,58,0.829756,59,0.65301,73,0.687847,81,0.544579,76,0.645276,13,0.936549,68,0.553297,71,0.669569,17,0.902128,86,0.638409,14,0.901296,59,0.65301
21,75,0.644678,63,0.673479,14,0.901296,96,0.641716,76,0.645276,49,0.368797,58,0.829756,23,0.87748,86,0.638409,86,0.638409,92,0.665694,23,0.87748,51,0.246653,92,0.665694,15,0.92212,28,0.797176,14,0.901296,23,0.87748,72,0.619629,69,0.655095,59,0.65301,75,0.644678,64,0.427846,90,0.581536,95,0.649364,96,0.641716,40,0.741053,95,0.649364,69,0.655095,15,0.92212,88,0.64553,22,0.820774,86,0.638409,95,0.649364,57,0.65512,24,0.857797,24,0.857797,27,0.825486,3,0.529015,67,0.558344,71,0.669569,82,0.05735,73,0.687847,21,0.904846,64,0.427846,75,0.644678,21,0.904846,91,0.625649,15,0.92212,60,0.624609
22,69,0.655095,43,0.681477,15,0.92212,95,0.649364,73,0.687847,57,0.65512,19,0.869142,24,0.857797,91,0.625649,92,0.665694,96,0.641716,22,0.820774,64,0.427846,96,0.641716,14,0.901296,27,0.825486,13,0.936549,24,0.857797,48,0.276438,45,0.456972,57,0.65512,88,0.64553,68,0.553297,95,0.649364,96,0.641716,95,0.649364,44,0.595148,96,0.641716,45,0.456972,14,0.901296,92,0.665694,24,0.857797,80,0.47378,91,0.625649,29,0.733492,25,0.832971,30,0.691636,24,0.857797,23,0.87748,57,0.65512,69,0.655095,84,0.397736,74,0.658964,20,0.899917,78,0.590437,90,0.581536,20,0.899917,95,0.649364,18,0.932613,49,0.368797
23,77,0.606331,41,0.696129,16,0.88388,75,0.644678,91,0.625649,56,0.699507,23,0.87748,25,0.832971,90,0.581536,88,0.64553,62,0.6771,24,0.857797,72,0.619629,95,0.649364,16,0.88388,26,0.839722,20,0.899917,25,0.832971,37,0.760199,86,0.638409,34,0.757861,90,0.581536,72,0.619629,86,0.638409,92,0.665694,91,0.625649,37,0.760199,92,0.665694,75,0.644678,13,0.936549,96,0.641716,58,0.829756,91,0.625649,80,0.47378,36,0.727446,26,0.839722,58,0.829756,23,0.87748,24,0.857797,91,0.625649,75,0.644678,83,0.085345,72,0.619629,23,0.87748,88,0.64553,69,0.655095,16,0.88388,96,0.641716,20,0.899917,58,0.829756
24,88,0.64553,30,0.691636,13,0.936549,78,0.590437,78,0.590437,5,0.506045,24,0.857797,3,0.529015,95,0.649364,80,0.47378,45,0.456972,25,0.832971,62,0.6771,91,0.625649,23,0.87748,25,0.832971,21,0.904846,22,0.820774,40,0.741053,88,0.64553,31,0.746997,80,0.47378,75,0.644678,80,0.47378,89,0.528122,86,0.638409,35,0.775094,88,0.64553,72,0.619629,21,0.904846,90,0.581536,3,0.529015,90,0.581536,62,0.6771,42,0.68768,58,0.829756,25,0.832971,14,0.901296,22,0.820774,86,0.638409,72,0.619629,88,0.64553,75,0.644678,22,0.820774,92,0.665694,72,0.619629,19,0.869142,92,0.665694,16,0.88388,18,0.932613
25,80,0.47378,59,0.65301,21,0.904846,67,0.558344,88,0.64553,29,0.733492,25,0.832971,22,0.820774,80,0.47378,72,0.619629,95,0.649364,26,0.839722,45,0.456972,86,0.638409,58,0.829756,23,0.87748,58,0.829756,26,0.839722,44,0.595148,90,0.581536,33,0.725884,69,0.655095,62,0.6771,78,0.590437,78,0.590437,62,0.6771,38,0.73516,80,0.47378,62,0.6771,20,0.899917,95,0.649364,25,0.832971,95,0.649364,45,0.456972,39,0.735191,27,0.825486,26,0.839722,15,0.92212,25,0.832971,89,0.528122,62,0.6771,92,0.665694,71,0.669569,24,0.857797,91,0.625649,64,0.427846,23,0.87748,88,0.64553,19,0.869142,19,0.869142
26,72,0.619629,62,0.6771,18,0.932613,62,0.6771,71,0.669569,36,0.727446,26,0.839722,26,0.839722,78,0.590437,90,0.581536,91,0.625649,27,0.825486,63,0.673479,63,0.673479,24,0.857797,24,0.857797,23,0.87748,27,0.825486,35,0.775094,80,0.47378,32,0.724231,72,0.619629,45,0.456972,89,0.528122,88,0.64553,63,0.673479,34,0.757861,90,0.581536,67,0.558344,23,0.87748,91,0.625649,30,0.691636,63,0.673479,67,0.558344,31,0.746997,28,0.797176,27,0.825486,13,0.936549,26,0.839722,40,0.741053,6,0.521209,96,0.641716,69,0.655095,25,0.832971,90,0.581536,67,0.558344,22,0.820774,90,0.581536,30,0.691636,17,0.902128
27,68,0.553297,45,0.456972,17,0.902128,45,0.456972,69,0.655095,42,0.68768,27,0.825486,27,0.825486,64,0.427846,63,0.673479,86,0.638409,28,0.797176,68,0.553297,59,0.65301,25,0.832971,13,0.936549,24,0.857797,30,0.691636,34,0.757861,72,0.619629,38,0.73516,64,0.427846,88,0.64553,62,0.6771,62,0.6771,59,0.65301,31,0.746997,78,0.590437,68,0.553297,24,0.857797,86,0.638409,26,0.839722,59,0.65301,78,0.590437,33,0.725884,11,0.339554,28,0.797176,16,0.88388,27,0.825486,37,0.760199,67,0.558344,91,0.625649,67,0.558344,26,0.839722,96,0.641716,88,0.64553,24,0.857797,80,0.47378,17,0.902128,16,0.88388
